,1931,1999,2008,2010,2011,2012,2015
Nord,2 029 449,2 555 020,2 564 959,2 576 770,2 579 208,2 587 128,
Paris,2 891 020,2 125 246,2 211 297,2 243 833,2 249 975,2 240 621,
Bouches-du-Rhône,1 101 672,1 835 719,1 966 005,1 972 018,1 975 896,1 984 784,
Hauts-de-Seine,949 231,1 428 881,1 549 619,1 572 490,1 581 628,1 586 434,
Seine-Saint-Denis,769 315,1 382 861,1 506 466,1 522 048,1 529 928,1 538 726,
Gironde,852 768,1 287 334,1 421 276,1 449 245,1 463 662,1 483 712,
Pas-de-Calais,1 205 191,1 441 568,1 459 531,1 461 387,1 462 807,1 463 628,
Yvelines,408 282,1 354 308,1 406 053,1 408 765,1 413 635,1 412 356,
Seine-et-Marne,406 108,1 193 767,1 338 427,1 324 865,1 338 427,1 353 946,
Val-de-Marne,657 322,1 227 250,1 310 876,1 327 732,1 333 702,1 341 831,
Métropole de Lyon,NR,NR,NR,NR,NR,NR,1 324 637[5]
Loire-Atlantique,652 079,1 134 266,1 255 871,1 282 052,1 296 364,1 313 321,
Haute-Garonne,441 799,1 046 338,1 217 344,1 243 641,1 260 226,1 279 349,
Seine-Maritime,905 278,1 239 138,1 248 580,1 250 411,1 251 282,1 253 931,
Essonne,271 094,1 134 238,1 205 850,1 215 340,1 225 191,1 237 507,
Isère,584 017,1 094 006,1 188 660,1 206 374,1 215 212,1 224 993,
Val-d'Oise,353 374,1 105 464,1 165 397,1 171 161,1 180 365,1 187 081,
Bas-Rhin,688 242,1 026 120,1 091 015,1 095 905,1 099 269,1 104 667,
Alpes-Maritimes,493 376,1 011 326,1 084 428,1 078 729,1 081 244,1 082 014,
Hérault,514 819,896 441,1 019 798,1 044 558,1 062 036,1 077 627,
Moselle,693 408,1 023 447,1 042 230,1 045 066,1 045 146,1 046 468,
Var,377 104,898 441,1 001 408,1 008 183,1 012 735,1 021 669,
Ille-et-Vilaine,562 558,867 533,967 588,988 140,996 439,1 007 901,
Finistère,744 295,852 418,890 509,897 628,899 870,901 293,
La Réunion,199281,706 300,808 250,821 136,828 581,833 944,
Oise,407 432,766 441,799 725,803 595,805 642,810 300,
Maine-et-Loire,475 991,732 942,774 823,784 810,790 343,795 557,
Haute-Savoie,252 794,631 679,716 277,738 088,746 994,756 501,
Haut-Rhin,516 726,708 025,746 072,749 782,753 056,755 202,
Loire,664 822,728 524,742 076,748 947,749 053,753 763,
Meurthe-et-Moselle,592 632,713 779,729 768,732 207,733 124,733 266,
Morbihan,537 528,643 873,710 034,721 657,727 083,732 372,
Gard,406 815,623 125,694 323,709 700,718 357,725 618,
Calvados,401 356,648 385,678 206,683 105,685 262,687 854,
Loiret,342 679,618 126,650 769,656 105,659 587,662 297,
Pyrénées-Atlantiques,422 719,600 018,647 420,653 515,656 608,660 871,
Vendée,390 396,539 664,616 906,634 778,641 657,648 901,
Puy-de-Dôme,500 590,604 266,628 485,632 311,635 469,638 092,
Charente-Maritime,415 249,557 024,611 714,622 323,625 682,628 733,
Ain,322 918,515 270,581 355,597 341,603 827,612 191,
Indre-et-Loire,335 226,554 003,585 406,590 515,593 683,596 937,
Côtes-d'Armor,539 531,542 373,581 570,591 641,594 375,595 531,
Eure,305 788,541 054,577 087,586 543,588 111,591 616,
Somme,466 626,555 551,568 086,570 741,571 211,571 154,
Marne,412 156,565 229,566 010,565 307,566 571,568 750,
Sarthe,384 619,529 851,559 587,563 518,565 718,567 382,
Saône-et-Loire,538 741,544 893,553 968,555 663,555 999,555 039,
Vaucluse,241 689,499 685,538 902,555 240,546 630,546 314,
Aisne,489 368,535 489,538 790,540 508,541 302,540 888,
Doubs,305 500,499 062,522 685,527 770,529 103,531 062,
Côte-d'Or,333 800,506 755,521 608,524 358,525 931,527 403,
Manche,433 473,481 471,496 937,498 747,499 531,499 340,
Drôme,267 080,437 778,478 069,484 715,487 993,491 334,
Rhône,1 046 028,1 578 869,1 690 498,1 725 177,1 744 236,1 762 866,471 026[6]
Pyrénées-Orientales,238 647,392 803,441 387,448 543,452 530,457 793,
Eure-et-Loir,254 790,407 665,423 559,428 933,430 416,432 107,
Vienne,303 072,399 024,424 354,427 193,428 447,430 018,
Savoie,235 544,373 258,408 842,414 959,418 949,421 105,
Dordogne,383 720,388 293,409 388,414 149,415 168,416 384,
Guadeloupe,,422 496,401 784[7],403 355,404 635,403 314,
Landes,257 186,327 334,373 142,384 320,387 929,392 884,
Martinique,,381 427,397 693,394 173,392 291,388 364,
Tarn,302 994,343 402,371 738,375 379,377 675,378 947,
Vosges,377 980,380 952,380 145,379 724,378 830,377 282,
Haute-Vienne,335 873,353 893,373 940,376 191,376 058,375 869,
Deux-Sèvres,308 481,344 392,365 059,369 270,370 939,371 583,
Aude,296 880,309 770,349 237,356 467,359 967,362 339,
Charente,310 489,339 628,351 581,351 577,352 705,353 657,
Allier,373 924,344 721,342 807,342 908,342 729,342 911,
Yonne,275 755,333 221,342 359,342 510,342 463,341 902,
Lot-et-Garonne,247 500,305 380,326 399,331 123,330 866,332 119,
Loir-et-Cher,241 592,314 968,326 599,330 079,331 280,331 656,
Ardèche,282 911,286 023,311 452,315 090,317 277,318 407,
Cher,293 918,314 428,313 251,311 257,311 694,311 897,
Mayenne,254 479,285 338,302 983,306 337,307 031,307 453,
Aube,242 596,292 131,301 327,303 327,303 997,305 606,
Orne,273 717,292 337,292 282,291 642,290 891,290 015,
Ardennes,293 746,290 130,284 197,283 250,283 110,282 778,
Aveyron,323 782,263 808,275 889,276 805,275 813,276 229,
Jura,229 109,250 857,260 740,261 534,261 294,260 932,
Tarn-et-Garonne,164 259,206 034,235 915,241 698,244 545,246 971,
Corrèze,264 129,232 576,242 896,243 551,242 454,241 247,
Haute-Saône,219 257,229 732,238 548,239 548,239 695,239 750,
Guyane,,157 213,219 266,229 040,237 549,239 648,
Hautes-Pyrénées,189 993,222 368,229 079,229 458,229 228,228 854,
Indre,247 912,231 139,232 004,231 176,230 175,228 692,
Haute-Loire,251 608,209 113,221 834,224 006,224 907,225 686,
Nièvre,255 195,225 198,220 653,219 584,218 341,216 786,
Mayotte,,131 320[9],186 452[10],,,212 645[11],
Meuse,215 819,192 198,194 218,193 923,193 557,192 800,
Gers,193 134,172 335,185 266,188 159,188 893,189 530,
Haute-Marne,189 791,194 873,186 470,184 039,182 375,182 136,
Lot,166 637,160 197,172 796,174 578,174 754,174 346,
Haute-Corse,,141 603,162 013,166 093,168 640,170 828,
Alpes-de-Haute-Provence,87 893,139 561,157 965,160 149,160 959,161 241,
Ariège,161 265,137 205,150 201,152 038,152 286,152 366,
Cantal,193 505,150 778,148 737,148 162,147 577,147 415,
Corse-du-Sud,,118 593,140 953,143 600,145 846,145 429,
Territoire de Belfort,99 403,137 408,141 958,142 911,143 348,143 940,
Hautes-Alpes,87 566,121 419,134 205,136 971,138 605,139 554,
Creuse,207 882,124 470,123 907,123 029,122 560,121 517,
Lozère,101 849,73 509,76 973,77 082,77 156,76 889,
